관광지명,주소,장애인 화장실,장애인용 엘리베이터,장애인 전용 주차구역,주출입구 단차없음,지하철 접근가능,저상버스 접근가능,휠체어 대여,시각장애인 편의서비스,청각장애인 편의서비스,수유실,장애인 객실,유모차 대여
강진문화원,전남 강진군,1,1,1,1,0,0,0,0,0,0,0,0
정남진해양낚시공원,전남 장흥군,0,0,1,1,0,0,0,0,0,0,0,0
돌산공원,전남 여수시,1,0,1,1,0,0,0,1,0,0,0,0
물사랑 배움터,전남 화순군,1,1,1,1,0,0,0,0,0,0,0,0
용천사 꽃무릇공원,전남 함평군,1,0,1,1,0,0,0,0,0,0,0,0
광양시문화예술회관,전남 광양시,1,0,1,1,0,0,0,1,0,0,0,0
순천만 자연생태관,전남 순천시,1,1,1,1,0,0,1,1,0,1,0,1
순천만 용산전망대 (S자 물길),전남 순천시,1,0,1,1,0,0,1,0,0,0,0,0
동신대 카메라박물관(문화박물관),전남 나주시,1,1,1,1,0,0,0,0,0,0,0,0
담양호,전남 담양군,1,0,1,1,0,0,0,0,0,0,0,0
영광 법성진 숲쟁이,전남 영광군,1,0,1,1,0,0,0,0,0,0,0,0
방촌유물전시관,전남 장흥군,1,1,1,1,0,0,0,0,0,0,0,0
탐진강 생태습지원,전남 장흥군,1,0,1,1,0,0,0,0,0,0,0,0
탐진강,전남 장흥군,1,0,1,1,0,0,0,0,0,0,0,0
천관산 문학공원,전남 장흥군,1,0,1,1,0,0,0,0,0,0,0,0
천관산도립공원,전남 장흥군,1,0,1,1,0,0,0,1,0,0,0,0
정남진 전망대,전남 장흥군,1,1,1,1,0,0,0,1,0,0,0,0
곡성레저문화센터,전남 곡성군,1,1,1,1,0,0,1,0,0,0,0,0
전라남도 옥과미술관,전남 곡성군,1,0,1,1,0,0,0,1,0,0,0,0
순천문화예술회관,전남 순천시,1,1,1,1,0,0,1,1,0,0,0,0
전라남도해양수산과학관,전남 여수시,1,1,1,1,0,0,1,0,0,0,0,0
국립해양문화재연구소,전남 목포시,1,1,1,1,0,0,1,1,0,0,0,1
죽도봉공원,전남 순천시,0,0,1,1,0,0,0,0,0,0,0,0
조계산도립공원,전남 순천시,1,0,1,1,0,0,0,0,0,0,0,0
순천시립 뿌리깊은나무 박물관,전남 순천시,1,1,1,1,0,0,1,1,0,0,0,1
제암산,전남 장흥군,0,0,1,0,0,0,0,0,0,0,0,0
장보고 동상,전남 완도군,0,1,0,1,0,0,0,0,0,0,0,0
해남공룡박물관,전남 해남군,1,1,1,1,0,0,0,0,0,1,0,1
김대중 노벨평화상기념관,전남 목포시,1,1,1,1,0,0,1,1,0,1,0,0
순천시립 그림책 도서관,전남 순천시,1,1,1,1,0,0,1,0,0,0,0,0
다산기념관,전남 강진군,1,1,1,1,0,0,1,1,0,0,0,1
불갑저수지 수변공원,전남 영광군,1,0,1,1,0,0,0,0,0,0,0,0
무안황토갯벌랜드(구 무안생태갯벌센터),전남 무안군,1,0,1,1,0,0,1,0,0,0,0,1
광양 장도박물관,전남 광양시,1,1,1,1,0,0,0,0,0,0,0,0
목포문학관,전남 목포시,1,1,1,1,0,0,0,1,0,0,0,0
목포자연사박물관,전남 목포시,1,1,1,1,0,0,1,1,0,0,0,1
목포문화예술회관,전남 목포시,1,1,1,1,0,0,0,0,0,0,0,0
장성문화예술회관,전남 장성군,1,1,1,1,0,0,0,1,0,0,0,0
함평군립미술관,전남 함평군,1,0,1,1,0,0,1,1,0,0,0,0
홀통유원지·홀통해변,전남 무안군,1,0,1,1,0,0,0,0,0,0,0,0
사구미해변,전남 해남군,1,0,1,1,0,0,0,0,0,0,0,0
송호해수욕장,전남 해남군,1,0,0,1,0,0,0,0,0,0,0,0
신지명사십리해수욕장,전남 완도군,1,0,1,1,0,0,0,0,0,0,0,0
가계해변,전남 진도군,1,0,1,1,0,0,0,1,0,0,0,0
도초 시목해수욕장,전남 신안군,1,0,1,1,0,0,0,0,0,0,0,0
임자 대광해수욕장,전남 신안군,1,0,1,1,0,0,0,0,0,0,0,0
영암도기박물관,전남 영암군,1,1,1,1,0,0,1,1,0,0,0,1
수문해수욕장,전남 장흥군,1,0,1,1,0,0,0,0,0,0,0,0
가마미해수욕장,전남 영광군,1,0,1,1,0,0,0,0,0,0,0,0
이난영의 목포의 눈물 노래비,전남 목포시,1,0,1,1,0,0,0,0,0,0,0,0
느랭이골 글램핑,전남 광양시,1,0,1,0,0,0,0,0,0,0,0,0
순천 기적의도서관,전남 순천시,1,1,1,1,0,0,0,1,0,0,0,0
땅끝모노레일,전남 해남군,1,0,0,0,0,0,0,0,0,0,0,0
중흥 골드스파&리조트 워터락,전남 나주시,1,0,1,0,0,0,0,0,0,0,0,0
귀족호도박물관,전남 장흥군,1,0,1,1,0,0,0,1,0,0,0,0
남포미술관,전남 고흥군,1,0,1,1,0,0,0,0,0,0,0,0
섬진강레일바이크,전남 곡성군,1,0,1,0,0,0,0,0,0,0,0,0
오동도 등대,전남 여수시,1,1,0,1,0,0,0,0,0,0,0,0
국립장성숲체원,전남 장성군,1,1,1,1,0,0,1,1,0,0,0,0
완도문화예술의전당,전남 완도군,0,1,1,1,0,0,0,1,0,0,0,0
돌머리해변,전남 함평군,1,0,1,1,0,0,0,0,0,0,0,0
장흥동학농민혁명기념관,전남 장흥군,1,0,1,1,0,0,0,0,0,0,0,0
여수시청소년수련관,전남 여수시,0,1,1,1,0,0,0,1,0,0,0,0
진도문화원,전남 진도군,1,1,1,1,0,0,0,0,0,0,0,0
세방마을,전남 진도군,0,0,0,1,0,0,0,0,0,0,0,0
구례문화원,전남 구례군,1,1,1,1,0,0,0,1,0,0,0,0
광양문화원,전남 광양시,0,1,1,1,0,0,0,0,0,0,0,0
영광문화원,전남 영광군,1,1,1,1,0,0,0,1,0,0,0,0
나주학생독립운동기념관,전남 나주시,1,1,1,1,0,0,0,1,0,0,0,0
정남진물과학관,전남 장흥군,1,1,1,1,0,0,1,1,0,0,0,1
여수 해상케이블카,전남 여수시,1,1,1,1,0,0,1,1,0,1,0,0
담양 용마루길,전남 담양군,1,0,1,1,0,0,0,0,0,0,0,0
용흥사(담양),전남 담양군,1,0,0,1,0,0,0,0,0,0,0,0
장흥문화원,전남 장흥군,0,1,1,1,0,0,0,1,0,0,0,0
여수시민회관,전남 여수시,1,0,1,1,0,0,0,0,0,0,0,0
도장사(해남),전남 해남군,0,0,0,0,0,0,0,0,0,0,0,1
진도타워,전남 진도군,1,1,1,1,0,0,0,1,0,0,0,0
미륵사(나주),전남 나주시,1,0,0,0,0,0,0,0,0,0,0,0
고산 윤선도 유적지,전남 해남군,1,1,1,1,0,0,1,0,0,0,0,0
장성 입암산성,전남 장성군,0,0,1,0,0,0,0,0,0,0,0,0
장성호관광지,전남 장성군,1,0,0,1,0,0,0,0,0,0,0,0
홍길동 생가,전남 장성군,1,0,1,1,0,0,0,0,0,0,0,0
영암문화원,전남 영암군,1,0,1,1,0,0,0,0,0,0,0,0
순천시생태관광체험학습센터,전남 순천시,1,1,1,1,0,0,1,1,0,1,0,1
정남진천문과학관,전남 장흥군,1,1,1,1,0,0,1,1,0,0,0,1
영광군립도서관,전남 영광군,1,0,1,1,0,0,0,1,0,0,0,0
강진아트홀,전남 강진군,0,1,1,1,0,0,0,0,0,0,0,0
금탑사(고흥),전남 고흥군,1,0,0,0,0,0,0,0,0,0,0,0
장등해변,전남 여수시,1,0,1,0,0,0,0,0,0,0,0,0
방죽포해변,전남 여수시,1,0,1,1,0,0,0,0,0,0,0,0
국립남도국악원,전남 진도군,1,1,1,1,0,0,0,1,0,0,0,0
해남윤씨 녹우당 일원,전남 해남군,1,0,1,1,0,0,0,0,0,0,0,0
목포시립도서관,전남 목포시,1,1,1,1,0,0,0,1,0,0,0,0
완도어촌민속전시관,전남 완도군,1,1,1,1,0,0,1,1,0,0,0,1
나주배박물관,전남 나주시,1,1,1,1,0,0,1,0,0,0,0,0
강진군도서관,전남 강진군,1,1,1,1,0,0,0,1,1,0,0,0
한국민화뮤지엄,전남 강진군,1,1,1,1,0,0,1,1,0,0,0,0
화순 고인돌군 유적 [유네스코 세계문화유산],전남 화순군,1,0,0,0,0,0,0,0,0,0,0,0
북한 반잠수정 전시관,전남 여수시,0,0,1,1,0,0,0,0,0,0,0,0
흥국사(여수),전남 여수시,1,0,0,1,0,0,0,0,0,0,0,0
완도수목원,전남 완도군,1,0,1,1,0,0,0,1,0,0,0,0
길상식당,전남 순천시,1,0,1,1,0,0,0,0,0,0,0,0
석천,전남 광양시,0,0,1,1,0,0,0,0,0,0,0,0
도곡원네스 리조트,전남 화순군,1,1,1,0,0,0,0,0,0,0,0,0
빅토리아 레스토랑,전남 고흥군,0,0,1,1,0,0,0,1,0,0,0,0
보성한우직판장,전남 보성군,0,0,0,1,0,0,0,0,0,0,0,0
함평천지한우프라자,전남 함평군,1,1,1,1,0,0,0,1,0,0,0,0
스파리조트 안단테,전남 장흥군,0,1,1,1,0,0,0,0,0,0,1,0
지리산온천랜드,전남 구례군,1,0,1,1,0,0,0,1,0,0,0,0
바다하우스,전남 장흥군,0,0,1,1,0,0,0,0,0,0,0,0
고흥 해창만 간척지 공원,전남 고흥군,1,0,1,1,0,0,0,0,0,0,0,0
자산공원,전남 여수시,1,0,1,1,0,0,0,1,0,0,0,0
우수영관광지,전남 해남군,1,0,1,1,0,0,0,0,0,0,0,0
여수 선소유적,전남 여수시,1,0,1,1,0,0,0,0,0,0,0,0
담양 달빛무월마을,전남 담양군,1,0,0,1,0,0,0,0,0,0,0,0
왕인박사유적지,전남 영암군,1,0,1,1,0,0,1,1,0,0,0,0
강진 고려청자 요지,전남 강진군,1,1,1,1,0,0,0,1,0,0,0,0
마한문화공원,전남 영암군,1,0,1,1,0,0,0,0,0,0,0,0
성기동국민관광지,전남 영암군,1,1,1,1,0,0,1,1,0,0,0,0
담양리조트 온천,전남 담양군,1,1,1,1,0,0,1,0,0,0,0,0
한마음공원,전남 영광군,1,0,1,1,0,0,1,0,0,1,0,1
관방제림,전남 담양군,1,0,1,1,0,0,0,0,0,0,0,0
배알도 수변공원,전남 광양시,1,0,1,1,0,0,0,0,0,0,0,0
구례 관광특구,전남 구례군,0,0,0,1,0,0,0,0,0,0,0,0
삼학집,전남 여수시,1,0,1,1,0,0,0,0,0,0,0,0
지리산국립공원(지리산 노고단),전남 구례군,1,0,1,1,0,0,0,0,0,0,0,0
강진 백사어촌체험마을,전남 강진군,1,0,1,1,0,0,0,0,0,0,0,0
땅끝관광지,전남 해남군,1,1,1,1,0,0,0,1,0,0,0,0
이순신공원(여수),전남 여수시,1,0,1,0,0,0,0,1,0,0,0,0
곡성섬진강천문대,전남 구례군,1,0,0,0,0,0,0,0,0,0,0,0
철마공원,전남 진도군,1,0,1,1,0,0,0,0,0,0,0,0
이충무공승전공원,전남 진도군,1,0,1,1,0,0,0,0,0,0,0,0
송계어촌체험마을,전남 무안군,1,0,0,1,0,0,0,0,0,0,0,0
지리산1박2일펜션,전남 구례군,0,0,1,1,0,0,0,0,0,0,0,0
노화 북고어촌체험마을,전남 완도군,0,0,0,1,0,0,0,0,0,0,0,0
해남유스호스텔,전남 해남군,0,1,1,1,0,0,0,1,0,0,0,0
영암 영보마을,전남 영암군,0,0,1,1,0,0,0,0,0,0,0,0
느랭이골 자연 리조트,전남 광양시,1,0,1,1,0,0,0,0,0,0,0,0
고흥우주발사전망대,전남 고흥군,1,1,1,1,0,0,0,0,0,0,0,0
농업기술센터 자연생태학습장,전남 구례군,0,0,1,1,0,0,0,0,0,0,0,0
함평 자연생태공원,전남 함평군,0,0,1,1,0,0,0,0,0,0,0,0
무안회산백련지,전남 무안군,0,0,0,1,0,0,0,1,0,0,0,0
해양에너지공원,전남 진도군,1,1,1,1,0,0,0,1,0,0,0,0
몰디브,전남 목포시,0,1,1,0,0,0,0,0,0,0,1,0
강강술래 전수관,전남 해남군,1,1,1,1,0,0,0,0,0,0,0,0
진도향토문화회관,전남 진도군,1,1,1,1,0,0,0,0,0,0,0,0
진도해양생태관,전남 진도군,1,1,1,1,0,0,0,0,0,0,0,0
해남문화예술회관,전남 해남군,0,1,1,1,0,0,0,0,0,0,0,0
진도무형문화재전수관,전남 진도군,0,0,1,1,0,0,0,1,0,0,0,0
장성문화원,전남 장성군,1,1,1,1,0,0,0,0,0,0,0,0
섬진강어류생태관,전남 구례군,1,1,1,1,0,0,1,1,0,0,0,1
순천시 유스호스텔,전남 순천시,0,1,0,1,0,0,0,0,0,0,0,0
여수 윈드빌 가족호스텔,전남 여수시,0,1,0,0,0,0,0,1,0,0,1,0
정남진 장흥토요시장,전남 장흥군,1,0,1,1,0,0,0,0,0,0,0,0
소라횟집,전남 완도군,0,0,0,1,0,0,0,0,0,0,0,0
디오션리조트,전남 여수시,0,1,1,1,0,0,0,1,0,0,0,0
보성다비치콘도,전남 보성군,1,1,1,1,0,0,1,1,0,0,1,0
지리산온천랜드,전남 구례군,1,1,1,1,0,0,0,1,0,0,1,0
한화리조트 지리산,전남 구례군,1,0,1,0,0,0,0,0,0,0,0,0
아쿠아플라넷 여수,전남 여수시,1,1,1,1,0,0,1,0,0,1,0,1
담양리조트,전남 담양군,1,1,0,1,0,0,0,1,0,0,1,0
만나숯불갈비,전남 장흥군,0,0,1,1,0,0,0,0,0,0,0,0
오동도,전남 여수시,1,0,1,1,0,0,0,1,0,0,0,0
강진 고려청자사업소,전남 강진군,1,1,1,1,0,0,0,0,0,0,0,0
순천만 공예특산품관,전남 순천시,1,1,1,1,0,0,0,0,0,0,0,0
정응민예적지(판소리공원),전남 보성군,0,1,1,1,0,0,0,0,0,0,0,0
소문난갈비탕,전남 고흥군,1,0,1,1,0,0,0,0,0,0,0,0
오거리문화센터(구 동본원사 목포별원),전남 목포시,1,0,1,1,0,0,0,0,0,0,0,0
백제불교최초도래지,전남 영광군,1,0,1,1,0,0,0,0,0,0,0,0
벌교우렁집,전남 보성군,0,0,0,1,0,0,0,0,0,0,0,0
제암산자연휴양림,전남 보성군,1,0,1,1,0,0,0,0,0,0,0,0
길상식당,전남 순천시,1,0,1,1,0,0,0,0,0,0,0,0
청해 한일정식,전남 순천시,0,0,1,1,0,0,0,0,0,0,0,0
이대순두부,전남 구례군,0,0,0,1,0,0,0,0,0,0,0,0
들마루,전남 순천시,0,0,1,1,0,0,0,0,0,0,0,0
대대선창집,전남 순천시,0,0,1,1,0,0,0,0,0,0,0,0
국립공원공단 종복원기술원,전남 구례군,1,0,1,1,0,0,0,0,0,0,0,0
백운산자연휴양림,전남 광양시,1,0,1,1,0,0,0,0,0,0,0,0
가우도 출렁다리,전남 강진군,1,0,1,1,0,0,0,0,0,0,0,0
힐하우스,전남 여수시,0,0,0,1,0,0,0,0,0,0,0,0
산마루터,전남 해남군,0,0,0,1,0,0,0,1,0,0,0,0
원조이동갈비,전남 목포시,0,0,0,1,0,0,0,0,0,0,0,0
섬진강기차마을,전남 곡성군,1,0,1,1,0,0,1,1,0,1,0,0
여수 진남관,전남 여수시,1,0,1,1,0,0,0,0,0,0,0,0
광양만권 경제자유구역 홍보관,전남 광양시,0,0,1,1,0,0,0,0,0,0,0,0
장흥다목적댐 물 문화관,전남 장흥군,1,1,1,1,0,0,0,1,0,0,0,0
소안항일운동기념관,전남 완도군,0,0,1,1,0,0,0,0,0,0,0,0
승달문화예술회관,전남 무안군,1,0,1,1,0,0,0,1,0,0,0,0
주암댐 물 문화관,전남 순천시,0,1,1,1,0,0,0,0,0,0,0,0
나로우주센터 우주과학관,전남 고흥군,1,1,1,1,0,0,1,0,0,1,0,1
나주 복암리 고분군,전남 나주시,1,0,1,1,0,0,0,0,0,0,0,0
남평역(나주),전남 나주시,0,0,0,1,0,0,0,0,0,0,0,0
함평문화원,전남 함평군,0,0,1,1,0,0,0,0,0,0,0,0
해남문화원,전남 해남군,1,0,1,1,0,0,0,1,0,0,0,0
